Provinsi,Kabupaten/Kota,Tahun,UMK,Sumber
"Aceh","Kabupaten Simeulue",2026,,"SK Gubernur"
"Aceh","Kabupaten Aceh Singkil",2026,,"SK Gubernur"
"Aceh","Kabupaten Aceh Selatan",2026,,"SK Gubernur"
"Aceh","Kabupaten Aceh Tenggara",2026,,"SK Gubernur"
"Aceh","Kabupaten Aceh Timur",2026,,"SK Gubernur"
"Aceh","Kabupaten Aceh Tengah",2026,,"SK Gubernur"
"Aceh","Kabupaten Aceh Barat",2026,,"SK Gubernur"
"Aceh","Kabupaten Aceh Besar",2026,,"SK Gubernur"
"Aceh","Kabupaten Pidie",2026,,"SK Gubernur"
"Aceh","Kabupaten Bireuen",2026,,"SK Gubernur"
"Aceh","Kabupaten Aceh Utara",2026,,"SK Gubernur"
"Aceh","Kabupaten Aceh Barat Daya",2026,,"SK Gubernur"
"Aceh","Kabupaten Gayo Lues",2026,,"SK Gubernur"
"Aceh","Kabupaten Aceh Tamiang",2026,,"SK Gubernur"
"Aceh","Kabupaten Nagan Raya",2026,,"SK Gubernur"
"Aceh","Kabupaten Aceh Jaya",2026,,"SK Gubernur"
"Aceh","Kabupaten Bener Meriah",2026,,"SK Gubernur"
"Aceh","Kabupaten Pidie Jaya",2026,,"SK Gubernur"
"Aceh","Kota Banda Aceh",2026,,"SK Gubernur"
"Aceh","Kota Sabang",2026,,"SK Gubernur"
"Aceh","Kota Langsa",2026,,"SK Gubernur"
"Aceh","Kota Lhokseumawe",2026,,"SK Gubernur"
"Aceh","Kota Subulussalam",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Nias",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Mandailing Natal",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Tapanuli Selatan",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Tapanuli Tengah",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Tapanuli Utara",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Toba Samosir",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Labuhan Batu",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Asahan",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Simalungun",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Dairi",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Karo",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Deli Serdang",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Langkat",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Nias Selatan",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Humbang Hasundutan",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Pakpak Bharat",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Samosir",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Serdang Bedagai",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Batu Bara",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Padang Lawas Utara",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Padang Lawas",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Labuhan Batu Selatan",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Labuhan Batu Utara",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Nias Utara",2026,,"SK Gubernur"
"Sumatera Utara","Kabupaten Nias Barat",2026,,"SK Gubernur"
"Sumatera Utara","Kota Sibolga",2026,,"SK Gubernur"
"Sumatera Utara","Kota Tanjung Balai",2026,,"SK Gubernur"
"Sumatera Utara","Kota Pematang Siantar",2026,,"SK Gubernur"
"Sumatera Utara","Kota Tebing Tinggi",2026,,"SK Gubernur"
"Sumatera Utara","Kota Medan",2026,,"SK Gubernur"
"Sumatera Utara","Kota Binjai",2026,,"SK Gubernur"
"Sumatera Utara","Kota Padangsidimpuan",2026,,"SK Gubernur"
"Sumatera Utara","Kota Gunungsitoli",2026,,"SK Gubernur"
"Sumatera Barat","Kabupaten Kepulauan Mentawai",2026,,"SK Gubernur"
"Sumatera Barat","Kabupaten Pesisir Selatan",2026,,"SK Gubernur"
"Sumatera Barat","Kabupaten Solok",2026,,"SK Gubernur"
"Sumatera Barat","Kabupaten Sijunjung",2026,,"SK Gubernur"
"Sumatera Barat","Kabupaten Tanah Datar",2026,,"SK Gubernur"
"Sumatera Barat","Kabupaten Padang Pariaman",2026,,"SK Gubernur"
"Sumatera Barat","Kabupaten Agam",2026,,"SK Gubernur"
"Sumatera Barat","Kabupaten Lima Puluh Kota",2026,,"SK Gubernur"
"Sumatera Barat","Kabupaten Pasaman",2026,,"SK Gubernur"
"Sumatera Barat","Kabupaten Solok Selatan",2026,,"SK Gubernur"
"Sumatera Barat","Kabupaten Dharmasraya",2026,,"SK Gubernur"
"Sumatera Barat","Kabupaten Pasaman Barat",2026,,"SK Gubernur"
"Sumatera Barat","Kota Padang",2026,,"SK Gubernur"
"Sumatera Barat","Kota Solok",2026,,"SK Gubernur"
"Sumatera Barat","Kota Sawah Lunto",2026,,"SK Gubernur"
"Sumatera Barat","Kota Padang Panjang",2026,,"SK Gubernur"
"Sumatera Barat","Kota Bukittinggi",2026,,"SK Gubernur"
"Sumatera Barat","Kota Payakumbuh",2026,,"SK Gubernur"
"Sumatera Barat","Kota Pariaman",2026,,"SK Gubernur"
"Riau","Kabupaten Kuantan Singingi",2026,,"SK Gubernur"
"Riau","Kabupaten Indragiri Hulu",2026,,"SK Gubernur"
"Riau","Kabupaten Indragiri Hilir",2026,,"SK Gubernur"
"Riau","Kabupaten Pelalawan",2026,,"SK Gubernur"
"Riau","Kabupaten S I A K",2026,,"SK Gubernur"
"Riau","Kabupaten Kampar",2026,,"SK Gubernur"
