Provinsi,Tahun,UMP,Sumber
"Aceh",2026,,"SK Gubernur"
"Bali",2026,,"SK Gubernur"
"Banten",2026,,"SK Gubernur"
"Bengkulu",2026,,"SK Gubernur"
"Di Yogyakarta",2026,,"SK Gubernur"
"Dki Jakarta",2026,,"SK Gubernur"
"Gorontalo",2026,,"SK Gubernur"
"Jambi",2026,,"SK Gubernur"
"Jawa Barat",2026,,"SK Gubernur"
"Jawa Tengah",2026,,"SK Gubernur"
"Jawa Timur",2026,,"SK Gubernur"
"Kalimantan Barat",2026,,"SK Gubernur"
"Kalimantan Selatan",2026,,"SK Gubernur"
"Kalimantan Tengah",2026,,"SK Gubernur"
"Kalimantan Timur",2026,,"SK Gubernur"
"Kalimantan Utara",2026,,"SK Gubernur"
"Kepulauan Bangka Belitung",2026,,"SK Gubernur"
"Kepulauan Riau",2026,,"SK Gubernur"
"Lampung",2026,,"SK Gubernur"
"Maluku",2026,,"SK Gubernur"
"Maluku Utara",2026,,"SK Gubernur"
"Nusa Tenggara Barat",2026,,"SK Gubernur"
"Nusa Tenggara Timur",2026,,"SK Gubernur"
"Papua",2026,,"SK Gubernur"
"Papua Barat",2026,,"SK Gubernur"
"Riau",2026,,"SK Gubernur"
"Sulawesi Barat",2026,,"SK Gubernur"
"Sulawesi Selatan",2026,,"SK Gubernur"
"Sulawesi Tengah",2026,,"SK Gubernur"
"Sulawesi Tenggara",2026,,"SK Gubernur"
"Sulawesi Utara",2026,,"SK Gubernur"
"Sumatera Barat",2026,,"SK Gubernur"
"Sumatera Selatan",2026,,"SK Gubernur"
"Sumatera Utara",2026,,"SK Gubernur"
